ID,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
8330314,282.0,,,1.0,,,,0.0
8326967,249.0,245.0,44.0,0.0,44.0,0.0,400.0,0.0
8332025,315.0,122.0,32.0,0.0,84.0,4.0,400.0,0.0
8322197,373.0,127.0,,0.0,,,400.0,0.0
8328096,272.0,187.0,,0.0,,,1.0,0.0
8328008,193.0,152.0,40.0,0.0,57.0,1.0,1.0,0.0
8327170,71.0,49.0,47.0,1.0,47.0,0.0,1.0,0.0
8326963,21.0,21.0,,0.0,,,1.0,0.0
8321695,242.0,178.0,,0.0,,,1.0,0.0
8323989,98.0,93.0,78.0,0.0,78.0,1.0,400.0,0.0
8327247,400.0,90.0,90.0,0.0,90.0,0.0,1.0,0.0
8322338,203.0,199.0,38.0,0.0,97.0,2.0,1.0,0.0
8325981,330.0,91.0,88.0,0.0,88.0,0.0,400.0,0.0
8321875,9.0,,,0.0,,,,0.0
8328776,196.0,142.0,3.0,0.0,70.0,2.0,400.0,0.0
8332633,273.0,89.0,,1.0,,,400.0,0.0
8329461,172.0,79.0,45.0,0.0,62.0,1.0,1.0,0.0
8322033,285.0,248.0,88.0,1.0,116.0,2.0,1.0,0.0
8329400,317.0,230.0,13.0,1.0,39.0,3.0,400.0,0.0
8332263,188.0,129.0,32.0,0.0,32.0,1.0,1.0,0.0
8331170,348.0,240.0,,0.0,,,1.0,0.0
8325257,359.0,220.0,,1.0,,,1.0,0.0
8322557,87.0,,,0.0,,,,0.0
8330408,234.0,160.0,35.0,0.0,35.0,1.0,400.0,0.0
8324851,217.0,96.0,8.0,0.0,25.0,1.0,400.0,0.0
8330966,244.0,169.0,45.0,0.0,76.0,2.0,400.0,0.0
8331015,192.0,99.0,68.0,0.0,83.0,1.0,1.0,0.0
8322127,368.0,218.0,31.0,0.0,112.0,2.0,400.0,0.0
8326268,157.0,96.0,,0.0,,,400.0,0.0
8328920,114.0,82.0,,0.0,,,1.0,0.0
8328819,157.0,151.0,51.0,0.0,51.0,0.0,1.0,0.0
8332158,274.0,147.0,19.0,0.0,46.0,3.0,400.0,0.0
8327436,197.0,203.0,,1.0,,,400.0,0.0
8322814,165.0,,,0.0,,,,0.0
8324798,342.0,166.0,74.0,0.0,90.0,1.0,1.0,0.0
8325818,340.0,70.0,70.0,0.0,70.0,0.0,400.0,0.0
8321643,220.0,126.0,,0.0,,,1.0,0.0
8326498,109.0,62.0,,0.0,,,1.0,0.0
8329328,85.0,85.0,,1.0,,,400.0,0.0
8331314,302.0,131.0,7.0,0.0,64.0,4.0,1.0,0.0
8331636,351.0,133.0,55.0,0.0,103.0,2.0,400.0,0.0
8324662,367.0,160.0,160.0,0.0,160.0,1.0,1.0,0.0
8325809,210.0,179.0,5.0,0.0,77.0,2.0,400.0,0.0
8327023,126.0,121.0,17.0,0.0,17.0,1.0,30.0,0.0
8328477,25.0,,,0.0,,,,0.0
8328212,374.0,145.0,45.0,0.0,112.0,3.0,1.0,0.0
8321897,42.0,32.0,,0.0,,,400.0,0.0
8323780,32.0,33.0,,0.0,,,1.0,0.0
8322648,108.0,83.0,53.0,0.0,53.0,0.0,60.0,0.0
8322014,90.0,82.0,,0.0,,,1.0,0.0
8331710,,144.0,20.0,0.0,85.0,3.0,90.0,
8331934,192.0,82.0,82.0,0.0,82.0,1.0,1.0,0.0
8321857,266.0,85.0,49.0,0.0,67.0,1.0,1.0,0.0
8326803,85.0,56.0,,1.0,,,1.0,0.0
